,v,b,noise,a,u0,u1,u2,u3,u4,z,t,pmixturecoef,rate,bic,subj_idx
0,0.5602132224351666,-0.19566935535132945,1.0,0.9412970238142677,4.101394852377464,6.4757482250400304,4.302454190367211,6.734072179086521,7.497058494918507,0.5409796425438543,0.6308334256122631,0.01,1.0,3070.6743390290258,0
1,0.697426015222804,-0.04981914716843445,1.0,0.9809997941644392,2.512779285155797,8.00806291295553,4.583301290784022,3.5245475173083225,1.7593700400675483,0.5094821902524634,0.7970855342381067,0.01,1.0,2787.703142441753,1
2,0.7904308531937265,0.05184860700180427,1.0,0.7106609320572341,21.442020271814624,9.37190553442977,3.7065691342054787,1.8800524456815602,1.6560079385955575,0.5261371036034512,0.5192781440057483,0.01,1.0,1127.418259603393,2
3,0.7850862351755648,0.13761262154356468,1.0,1.2657739966847041,0.860975981217571,0.8723748307873134,0.8365950040602623,0.6315312966897739,0.5952309239425766,0.5103393215648602,0.7427128938037264,0.01,1.0,1828.5851945707536,3
4,0.8796161810680276,-0.051138400950334645,1.0,0.8929999689277803,2.848914398330247,9.069324126701412,1.931285807063581,5.434828377977219,2.047719602288715,0.4926516853106705,0.6407734308804258,0.01,1.0,2227.1632447044794,4
5,1.299230581999419,-0.5124084310443244,1.0,0.3679407239084065,11.887815949176936,3.9232943698682057,1.8759377385960292,20.613389590518022,24.487032190241365,0.4824484811350872,0.530455589853337,0.01,1.0,-1143.271854182407,5
6,0.8619211593550735,-0.26165862569982545,1.0,1.5667024180275613,0.12539209199426438,0.15317525504836027,0.14008253931707415,0.15155854492537557,0.1620922841016892,0.5015391434629987,0.5829517634500067,0.01,1.0,-262.79971777509604,6
7,0.7986869919566876,0.3909467530484111,1.0,0.8549999495061636,2.150238730992487,3.0176659625364985,2.916946029070347,27.116790120162097,3.013852250398336,0.5224607447040307,0.7515357395412982,0.01,1.0,1468.8672560743755,7
8,0.6703618558245351,-0.36294405149026526,1.0,0.9429999469526443,16.52315056404881,7.951584189962445,2.879215710587489,1.7727398321407373,1.0916763047960485,0.5541768829175765,0.48288782233917527,0.01,1.0,2396.898483161779,8
9,0.4915194557056812,0.23209328172050567,1.0,2.1319999186154357,1.3403700415214999,1.5069837977998184,1.2261610227350799,1.334871011772311,0.905688577038965,0.44463273553788074,0.6826050671705021,0.01,1.0,3770.529571243822,9
10,1.1651493080285213,-0.3517394719837974,1.0,0.498010234291999,29.52602315171073,29.62767241602272,26.78261036704299,2.992411984110383,3.7857308921861854,0.5119251176011035,0.5279134550318413,0.01,1.0,44.2817496155791,10
11,0.7272337272700428,-0.20011163722066677,1.0,0.8919997701368125,2.4223466299803933,9.571777712660987,7.0417667052841555,8.61918400350885,25.501910837993215,0.4918215962612304,0.6993429172719383,0.01,1.0,2587.3585413990854,11
12,0.29641005020193045,0.2935714381836396,1.0,0.9844623671434056,3.2591358936691623,1.9992298077492663,4.16177568389023,2.3831109507932684,2.848709592779704,0.4966479418774732,0.5089194817830646,0.01,1.0,3034.3468509020527,12
13,0.6141798065577018,0.22574527738862538,1.0,1.0309999084581436,22.1553355603684,17.131717008323907,11.712214744556086,3.8182218591603068,5.107036096813691,0.4562339240185397,0.40745574647832394,0.01,1.0,3294.7516468015483,13
14,0.7023597946453044,0.04815323542945782,1.0,0.8052400452340325,13.008908831025916,16.053883751589634,12.11409938544803,5.484111123198092,2.7198272625723003,0.48026219166199774,0.502280751289343,0.01,1.0,2272.0167634152644,14
15,0.5003926984567563,0.06303606454794124,1.0,1.9249999688563832,1.2202173323128058,1.179917587993571,1.367703277838612,1.225001309251028,1.1825914548499146,0.499846861275166,0.6866807820186899,0.01,1.0,3248.0114103102314,15
16,0.8971460277528762,0.04425751655456889,1.0,1.0787008664876327,3.332361568823421,4.54854110888383,1.4193023361960844,2.0479586772680136,2.0424980531820296,0.5559739594136585,0.7367509352531676,0.01,1.0,2017.3922420854042,16
17,0.7656902276757991,-0.2125216349026553,1.0,0.8799999802678462,2.422414799028854,4.328384881788524,4.094518348095267,15.819282300818177,13.248629233208673,0.5314233493663748,0.544408044845983,0.01,1.0,2335.0362539136595,17
18,0.6295259409441344,0.307753605225487,1.0,1.3229999123347036,1.2038157322622647,1.1195401206671127,1.2782794104538755,1.5103839845238105,1.4862369345134208,0.5434508560459236,0.5035002402371315,0.01,1.0,2424.846190759389,18
19,0.48225805450293524,-0.5745900961040116,1.0,2.537999968779762,0.7310083687012846,0.6562113147961888,0.581893513513999,0.6420149959846931,0.4946379149774838,0.5258606299091272,0.9955132466194676,0.01,1.0,2787.0148943370828,19
20,0.4634344754330617,-0.6882366525868017,1.0,1.0508063968606411,2.3816723822690715,1.623843695207123,1.4720358924584307,1.4872894783855202,1.5937601107895656,0.549409733991471,0.7495036516294182,0.01,1.0,2488.9744326660702,20
21,0.8330796974952825,-0.027470557170249377,1.0,1.0674920976826852,5.261008604966809,6.271222100509522,1.8448870312331351,2.4554409157585724,1.821774354879345,0.5513165506593528,0.8434483240714564,0.01,1.0,1748.5771524644042,21
22,0.7817816333452376,-0.35654420030633266,1.0,1.0909999845353189,1.8646924904299085,3.40992252921893,3.0410808481705116,2.4142472384142537,2.350810242970075,0.5189988780308974,0.8721362057549729,0.01,1.0,2440.0370166475586,22
23,0.9176643098321735,-0.1524157938987121,1.0,0.5520000107858186,14.018393152018485,4.361672382985285,8.134322710118642,8.19807238999792,26.59827118827258,0.5598591867374995,0.5260009655085583,0.01,1.0,574.5081320840176,23
